,date,action,price,shares,capital
46,2013-01-30,BUY,0.2841915190219879,36880.37544232629,
47,2013-02-25,SELL,0.283730149269104,,10464.074429351835
48,2013-02-27,BUY,0.2924335598945617,35782.74132806339,
49,2013-03-20,SELL,0.2928976416587829,,10480.680547076034
50,2013-04-11,BUY,0.2963789403438568,35362.43342700537,
51,2013-06-05,SELL,0.3303089141845703,,11680.526988198299
52,2013-06-19,BUY,0.3461712002754211,33742.05300413502,
53,2013-06-26,SELL,0.3298423886299133,,11129.559360161036
54,2013-07-11,BUY,0.3412724435329437,32611.948521084378,
55,2013-07-24,SELL,0.331475168466568,,10810.051130049487
56,2013-08-02,BUY,0.344305008649826,31396.729232724596,
57,2013-10-02,SELL,0.3643277585506439,,11438.69998718003
58,2013-10-18,BUY,0.3706578016281128,30860.540198899336,
59,2013-10-28,SELL,0.3565909564495086,,11004.589546074023
60,2013-11-13,BUY,0.3786288797855377,29064.316362521586,
61,2013-11-25,SELL,0.3655937016010284,,10625.731003477604
62,2013-11-26,BUY,0.368658035993576,28822.729917822166,
63,2013-12-09,SELL,0.3585222363471985,,10333.589587768907
64,2013-12-24,BUY,0.3729009330272674,27711.353532637288,
65,2014-01-15,SELL,0.3773794174194336,,10457.694452050622
66,2014-01-17,BUY,0.3769080936908722,27746.006591802416,
67,2014-01-27,SELL,0.3644151389598846,,10111.06484773355
68,2014-02-11,BUY,0.3830366730690002,26397.119541376513,
69,2014-03-13,SELL,0.4200462698936462,,11088.01159929188
70,2014-03-24,BUY,0.4368574917316437,25381.301246181014,
71,2014-03-27,SELL,0.4212300777435303,,10691.36749716079
72,2014-04-03,BUY,0.4434873759746551,24107.49003545885,
73,2014-04-16,SELL,0.437804639339447,,10554.370980353375
74,2014-04-17,BUY,0.4394621551036834,24016.56401530925,
75,2014-05-02,SELL,0.4363840222358703,,10480.444805285915
76,2014-05-23,BUY,0.4398211240768432,23828.880041366152,
77,2014-06-24,SELL,0.4381561279296875,,10440.769811826005
78,2014-07-14,BUY,0.4588506817817688,22754.177396627856,
79,2014-07-23,SELL,0.4300683736801147,,9785.852067396569
80,2014-08-12,BUY,0.4495737552642822,21766.95581716942,
81,2014-09-15,SELL,0.4506067931652069,,9808.338157743457
82,2014-10-23,BUY,0.4369882345199585,22445.314044937935,
83,2014-12-12,SELL,0.4709885716438293,,10571.486402122498
84,2014-12-24,BUY,0.4935421049594879,21419.624173686767,
85,2015-01-02,SELL,0.4829853773117065,,10345.365263403053
86,2015-01-22,BUY,0.4954618215560913,20880.247101404268,
87,2015-01-30,SELL,0.4606715738773346,,9618.936295151558
88,2015-02-06,BUY,0.4894633889198303,19652.003628665785,
89,2015-03-25,SELL,0.5067631602287292,,9958.911463689128
90,2015-04-10,BUY,0.5481902956962585,18166.88756053275,
91,2015-04-30,SELL,0.5347023606300354,,9713.877663917287
92,2015-05-01,BUY,0.5479496717453003,17727.682239460348,
93,2015-05-08,SELL,0.5017049908638,,8894.066655984805
94,2015-05-29,BUY,0.5354835987091064,16609.410031279735,
