,date,action,price,shares,capital
91,2011-05-16,SELL,12.86712646484375,,56676.33059974802
92,2011-07-05,BUY,13.21510124206543,4288.754929802558,
93,2011-08-08,SELL,13.552154541015623,,58121.869597226876
94,2011-09-02,BUY,13.026470184326172,4461.828014404147,
95,2011-09-06,SELL,12.960450172424316,,57827.299658611875
96,2011-09-12,BUY,13.157520294189451,4394.999845384942,
97,2011-09-26,SELL,13.201451301574709,,58020.37642927769
98,2011-10-12,BUY,13.613710403442385,4261.9076438269585,
99,2011-11-22,SELL,14.395536422729492,,61352.44671702021
100,2011-12-02,BUY,15.39726734161377,3984.6321659431505,
101,2012-01-12,SELL,15.62759494781494,,62270.21750539408
102,2012-02-08,BUY,15.136409759521484,4113.935767775004,
103,2012-03-09,SELL,14.898138046264648,,61289.98298177776
104,2012-03-15,BUY,15.416377067565918,3975.6411453326496,
105,2012-04-10,SELL,15.558595657348633,,61855.39305894911
106,2012-05-10,BUY,15.230975151062012,4061.157768656468,
107,2012-05-23,SELL,15.12672996520996,,61432.03691258101
108,2012-07-02,BUY,14.407200813293455,4263.981442939142,
109,2012-07-16,SELL,14.269449234008787,,60844.66673477562
110,2012-07-19,BUY,14.719682693481444,4133.558311125855,
111,2012-10-15,SELL,18.391042709350582,,76020.44744150665
112,2012-11-28,BUY,16.968610763549805,4480.063129552469,
113,2013-01-18,SELL,17.485858917236328,,78337.75182366674
114,2013-01-25,BUY,18.70600700378418,4187.839329249647,
115,2013-03-20,SELL,20.221010208129883,,84682.34182676491
116,2013-04-24,BUY,20.18973922729492,4194.325685607723,
117,2013-05-30,SELL,21.612165451049805,,90648.46067294202
118,2013-06-18,BUY,22.35328865051269,4055.2628335903905,
119,2013-06-26,SELL,21.683895111083984,,87933.89393145125
120,2013-07-02,BUY,21.898836135864254,4015.4596977617357,
121,2013-07-25,SELL,22.03261375427246,,88471.07256663196
122,2013-09-06,BUY,21.831077575683597,4052.5288896034563,
123,2013-09-27,SELL,21.751903533935547,,88150.21747514131
124,2013-10-16,BUY,22.289003372192383,3954.874787497989,
125,2014-01-29,SELL,27.4736328125,,108654.77773113371
126,2014-02-05,BUY,28.374095916748047,3829.365279159408,
127,2014-03-13,SELL,29.51233673095703,,113013.51758438772
128,2014-05-15,BUY,26.239131927490234,4307.060077166106,
129,2014-06-17,SELL,27.305322647094727,,117605.66506744122
130,2014-06-24,BUY,28.392337799072266,4142.162082591312,
