Date,price,return,momentum,position,strategy_return,strategy_value,buyhold_value,position_change
2014-08-31,0.4647031426429748,0.11634498563478646,0.23581352427650892,1,0.11634498563478646,8104.043983193388,8476.316260691443,0.0
2014-09-30,0.4408109784126282,-0.05141382107825054,0.3438241623684073,1,-0.05141382107825054,7687.384115831211,8040.516453061587,0.0
2014-10-31,0.4668534994125366,0.05907865791747802,0.2083747598758292,1,0.05907865791747802,8141.544452290656,8515.539374071866,0.0
2014-11-30,0.5031397938728333,0.07772522751989075,0.3109359310249544,1,0.07772522751989075,8774.347847208253,9177.41160937619,0.0
2014-12-31,0.4810657799243927,-0.04387252651699358,0.36828693212579333,1,-0.04387252651699358,8389.395038612283,8774.77537518647,0.0
2015-01-31,0.4606715738773346,-0.04239379913961738,0.2739579253205495,1,-0.04239379913961738,8033.73671044245,8402.779310435553,0.0
2015-02-28,0.5313304662704468,0.15338235827836622,0.24481504668467258,1,0.15338235827836622,9265.970192877598,9691.617417162823,0.0
2015-03-31,0.5041135549545288,-0.05122407436366461,0.22088783652497312,1,-0.05122407436366461,8791.329446666135,9195.173285881887,0.0
2015-04-30,0.5347023606300354,0.06067840345666897,0.18874646157132946,1,0.06067840345666897,9324.773281751437,9753.121720376614,0.0
2015-05-31,0.5354835987091064,0.0014610709370173058,0.2226488913070086,1,0.0014610709370173058,9338.39743698768,9767.371723067447,0.0
2015-06-30,0.4866052567958832,-0.09127887769308818,0.1848227719482396,1,-0.09127887769308818,8485.998999487432,8875.816994174646,0.0
2015-07-31,0.4827337861061096,-0.007956080695193823,0.10338729544076442,1,-0.007956080695193823,8418.483706668178,8805.20027793322,0.0
2015-08-31,0.546241283416748,0.13155801217667173,0.1596595591135881,1,0.13155801217667173,9526.002688659142,9963.594923315592,0.0
2015-09-30,0.5989699959754944,0.09653007591979756,0.17546285637327386,1,0.09653007591979756,10445.548451407605,10925.381497697355,0.0
2015-10-31,0.6893621683120728,0.15091268835488814,0.358791013173948,1,0.15091268835488814,12021.914249550764,12574.160190817618,0.0
2015-11-30,0.7736904621124268,0.12232799778791859,0.4766134754896967,1,0.12232799778791859,13492.530949276357,14112.33203082489,0.0
2015-12-31,0.8039358258247375,0.03909233109806087,0.5377246473730006,1,0.03909233109806087,14019.985436496303,14664.015987139666,0.0
2016-01-31,0.7144200205802917,-0.1113469537852898,0.6711557117014,1,-0.1113469537852898,12458.902766028312,13031.222476712876,0.0
2016-02-29,0.767696738243103,0.0745733827833337,0.5508228879139048,1,0.0745733827833337,13388.005291059677,14003.004818603566,0.0
2016-03-31,0.8722266554832458,0.13616042902482905,0.4448573665119855,1,0.13616042902482905,15210.921835277044,15909.659962341377,0.0
2016-04-30,0.8697784543037415,-0.002806840589098969,0.730218612276595,1,-0.002806840589098969,15168.227202472177,15865.004083000314,0.0
2016-05-31,1.146681308746338,0.31836021353766175,0.6266590880184046,1,0.31836021353766175,19997.18725363899,20915.790170640168,0.0
2016-06-30,1.153799057006836,0.006207259337190907,1.1413938942493278,1,0.006207259337190907,20121.314980936695,21045.619904471598,0.0
2016-07-31,1.4014450311660769,0.2146352717618607,1.3711191790326698,1,0.2146352717618607,24440.05889007604,25562.752252064685,0.0
2016-08-31,1.508284330368042,0.07623509793535677,1.903142625401458,1,0.07623509793535677,26303.249173106877,27511.531173498097,0.0
2016-09-30,1.6848325729370115,0.11705236142438036,1.761205306442053,1,0.11705236142438036,29382.106601952917,30731.820863756504,0.0
2016-10-31,1.7497472763061523,0.03852887486379797,1.8128830897331674,1,0.03852887486379797,30514.16611045433,31915.883344152833,0.0
2016-11-30,2.2704927921295166,0.29761184536471874,1.5382119250762911,1,0.29761184536471874,39595.54339635221,41414.42828265124,0.0
2016-12-31,2.6285512447357178,0.15770076603959393,1.9346268350398588,1,0.15770076603959393,45839.79092171093,47945.51534791717,0.0
2017-01-31,2.6886372566223145,0.022858984395656368,2.269603319443008,1,0.022858984395656368,46887.64198709047,49041.50113509691,0.0
2017-02-28,2.502172946929932,-0.0693527210608671,2.763384534546573,1,-0.0693527210608671,43635.85643115798,45640.33958646833,0.0
2017-03-31,2.6858668327331543,0.07341374465286554,2.2593247076394123,1,0.07341374465286554,46839.328052904115,48990.96782273939,0.0
2017-04-30,2.571705102920532,-0.04250461282045426,2.079322118681508,1,-0.04250461282045426,44848.44054924519,46908.62570373451,0.0
2017-05-31,3.5629594326019287,0.3854463439667668,1.9567358103612538,1,0.3854463439667668,62135.10799156264,64989.38398174449,0.0
2017-06-30,3.568143606185913,0.0014550189756716847,2.1071923867820765,1,0.0014550189756716847,62225.51575274578,65083.94476865514,0.0
2017-07-31,4.011198043823242,0.12416945239233868,2.09251735344829,1,0.12416945239233868,69952.02396859507,73165.38255011226,0.0
2017-08-31,4.185932636260986,0.04356169666237597,1.8621872100725292,1,0.04356169666237597,72999.25281763425,76352.59075094695,0.0
2017-09-30,4.4164252281188965,0.05506361709246077,1.7752941219243201,1,0.05506361709246077,77018.8557228202,80556.84057207445,0.0
2017-10-31,5.109140396118164,0.1568497443563237,1.6212843335644647,1,0.1568497443563237,89099.24355356113,93192.16042195747,0.0
2017-11-30,4.961887836456299,-0.028821396212510675,1.9199304752763737,1,-0.028821396212510675,86531.27895286895,90506.23224253638,0.0
2017-12-31,4.783645153045654,-0.03592235239600716,1.185379250555778,1,-0.03592235239600716,83422.87185704679,87255.03547388512,0.0
2018-01-31,6.076589107513428,0.2702842525107827,0.8198789780591156,1,0.2702842525107827,105970.76041923149,110838.69751474597,0.0
2018-02-28,5.986363887786865,-0.014848004057901987,1.2601000162987157,1,-0.014848004057901987,104397.30613850777,109192.96408427446,0.0
2018-03-31,5.728851795196533,-0.04301644494343182,1.3924660743902209,1,-0.04301644494343182,99906.50516675806,104495.87095653314,0.0
2018-04-30,5.563361167907715,-0.02888722438719349,1.132961964226208,1,-0.02888722438719349,97020.4835342656,101477.27528467655,0.0
2018-05-31,6.242292404174805,0.12203616047498578,1.1632967020945513,1,0.12203616047498578,108860.49083221395,113861.17233588164,0.0
2018-06-30,5.863829612731934,-0.06062881501509887,0.751996485577787,1,-0.06062881501509887,102260.40827109478,106957.90438092718,0.0
2018-07-31,6.060858249664307,0.03360067565820324,0.6433838600459085,1,0.03360067565820324,105696.42708208729,110551.76223511182,0.0
2018-08-31,6.951288223266602,0.14691483234269898,0.5109845446293264,1,0.14691483234269898,121224.79994607446,126793.4558490732,0.0
2018-09-30,6.959707260131836,0.0012111477174914231,0.6606306950691214,1,0.0012111477174914231,121371.62108583249,126947.02145371765,0.0
2018-10-31,5.221389293670654,-0.24976883387308635,0.5758689212759995,1,-0.24976883387308635,91056.77282193801,95239.61194156091,0.0
2018-11-30,4.05153751373291,-0.22404990590451346,0.021970211982778043,1,-0.22404990590451346,70655.51143921414,73901.18584767182,0.0
2018-12-31,3.3095529079437256,-0.18313655082155522,-0.1834685411537933,0,-0.18313655082155522,57715.90477770352,60367.17756990647,-1.0
2019-01-31,3.5636565685272217,0.07677884827693382,-0.30815250670577077,0,0.0,57715.90477770352,65002.09993745304,0.0
2019-02-28,3.828148365020752,0.07421921596750236,-0.413543271484175,0,0.0,57715.90477770352,69826.50483105204,0.0
2019-03-31,4.455997467041016,0.16400856031525834,-0.3605219400660251,0,0.0,57715.90477770352,81278.64936023932,0.0
2019-04-30,4.491734504699707,0.008019986080113783,-0.22218314832699404,0,0.0,57715.90477770352,81930.50299671889,0.0
2019-05-31,3.365440845489502,-0.2507480480050107,-0.19262216326879755,0,-0.0,57715.90477770352,61386.58929822294,0.0
2019-06-30,4.0802178382873535,0.21238732921299874,-0.4608645946737905,0,0.0,57715.90477770352,74424.32304876776,0.0
2019-07-31,4.191769599914551,0.027339658334031514,-0.3041718283511998,0,0.0,57715.90477770352,76459.05861266266,0.0
2019-08-31,4.165828227996826,-0.006188644509052543,-0.30838679486577325,0,-0.0,57715.90477770352,75985.88067941209,0.0
2019-09-30,4.32896900177002,0.03916166602280713,-0.4007113366334868,0,0.0,57715.90477770352,78961.61436102809,0.0
2019-10-31,4.999190807342529,0.15482250053037339,-0.37799553343741965,0,0.0,57715.90477770352,91186.64894231751,0.0
2019-11-30,5.394111633300781,0.07899694994202155,-0.04255543378032989,0,0.0,57715.90477770352,98390.11608419445,0.0
2019-12-31,5.856023788452148,0.08563266512686396,0.33137398210361924,1,0.0,57715.90477770352,106815.52394662554,1.0
2020-01-31,5.88414478302002,0.00480206289860452,0.7694304793847768,1,0.00480206289860452,57993.06018269592,107328.45881116464,0.0
2020-02-29,6.725380897521973,0.1429665899672492,0.6511537152559579,1,0.1429665899672492,66284.1302387814,122672.84257383722,0.0
2020-03-31,6.564263343811035,-0.023956643670591582,0.7568234708388881,1,-0.023956643670591582,64696.18494963584,119734.01299623722,0.0
2020-04-30,7.278462886810303,0.10880117167642789,0.4731299540369811,1,0.10880117167642789,71735.2056751511,132761.21389974846,0.0
2020-05-31,8.840836524963379,0.21465708659232674,0.6204125331082766,1,0.21465708659232674,87133.6759314804,161259.3492879292,0.0
2020-06-30,9.464973449707031,0.07059704395407729,1.6269475325386331,1,0.07059704395407729,93285.05588109542,172643.78265761505,0.0
2020-07-31,10.578118324279783,0.11760676144392224,1.3197225797336096,1,0.11760676144392224,104256.00919438638,192947.85881940552,0.0
2020-08-31,13.328347206115724,0.25999225925875535,1.5235447875034493,1,0.25999225925875535,131361.76456613647,243112.8085530021,0.0
2020-09-30,13.487842559814451,0.011966626561584537,2.199447139116625,1,0.011966626561584537,132933.7217471702,246022.04874529387,0.0
