date,value,peak,drawdown
2014-10-08,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-09,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-10,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-13,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-14,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-15,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-16,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-17,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-20,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-21,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-22,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-23,9808.338157743457,19909.04736556146,-50.73426680017922
2014-10-24,9910.229768543277,19909.04736556146,-50.222481334360936
2014-10-27,9915.591851185123,19909.04736556146,-50.19554844026817
2014-10-28,10151.55091324827,19909.04736556146,-49.01036334461509
2014-10-29,10087.199901243743,19909.04736556146,-49.33358831275616
2014-10-30,10022.843537859335,19909.04736556146,-49.65684016003304
2014-10-31,10478.673407292632,19909.04736556146,-47.367278730681136
2014-11-03,10655.642202148128,19909.04736556146,-46.47839242886031
2014-11-04,10795.073073898271,19909.04736556146,-45.778053185148785
2014-11-05,10795.073073898271,19909.04736556146,-45.778053185148785
2014-11-06,10843.333824442347,19909.04736556146,-45.5356470586379
2014-11-07,10612.740189633474,19909.04736556146,-46.69388246073831
2014-11-10,10736.083475613106,19909.04736556146,-46.07434861908906
2014-11-11,10607.376769146655,19909.04736556146,-46.72082207461505
2014-11-12,10537.66233665531,19909.04736556146,-47.070986656632854
2014-11-13,10484.034821011994,19909.04736556146,-47.34034919648034
2014-11-14,10612.740189633474,19909.04736556146,-46.69388246073831
2014-11-17,10564.474756632002,19909.04736556146,-46.93631210649304
2014-11-18,10816.520735543172,19909.04736556146,-45.670324968669675
2014-11-19,10776.131195883154,19909.04736556146,-45.87319524627966
2014-11-20,10953.851190689598,19909.04736556146,-44.980535785767934
2014-11-21,11013.090965984251,19909.04736556146,-44.682983752228026
2014-11-24,11083.097717601653,19909.04736556146,-44.331350897415994
2014-11-25,11077.707540215426,19909.04736556146,-44.35842490697183
2014-11-26,11266.202538414444,19909.04736556146,-43.41164430648426
2014-11-28,11293.130681981082,19909.04736556146,-43.276388495032336
2014-12-01,11083.097717601653,19909.04736556146,-44.331350897415994
2014-12-02,11099.25487131063,19909.04736556146,-44.25019606658805
2014-12-03,11384.678075468837,19909.04736556146,-42.816560398756295
2014-12-04,11282.35701643348,19909.04736556146,-43.33050291522422
2014-12-05,11346.985631269388,19909.04736556146,-43.005883591912436
2014-12-08,11201.577268190958,19909.04736556146,-43.73624683033617
2014-12-09,11163.876127999203,19909.04736556146,-43.92561370208801
2014-12-10,10916.15607080021,19909.04736556146,-45.16987241849198
2014-12-11,10910.763217724041,19909.04736556146,-45.196959867615725
2014-12-12,10571.486402122498,19909.04736556146,-46.901093718783414
2014-12-15,10571.486402122498,19909.04736556146,-46.901093718783414
2014-12-16,10571.486402122498,19909.04736556146,-46.901093718783414
2014-12-17,10571.486402122498,19909.04736556146,-46.901093718783414
2014-12-18,10571.486402122498,19909.04736556146,-46.901093718783414
2014-12-19,10571.486402122498,19909.04736556146,-46.901093718783414
2014-12-22,10571.486402122498,19909.04736556146,-46.901093718783414
2014-12-23,10571.486402122498,19909.04736556146,-46.901093718783414
2014-12-24,10571.486402122498,19909.04736556146,-46.901093718783414
2014-12-26,10581.771570552302,19909.04736556146,-46.84943294244916
2014-12-29,10566.348924743956,19909.04736556146,-46.92689845611821
2014-12-30,10468.706213533493,19909.04736556146,-47.41734237047327
2014-12-31,10304.248208802,19909.04736556146,-48.243388949758476
2015-01-02,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-05,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-06,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-07,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-08,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-09,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-12,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-13,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-14,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-15,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-16,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-20,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-21,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-22,10345.365263403053,19909.04736556146,-48.03686447952101
2015-01-23,10375.423247270553,19909.04736556146,-47.885887974640646
2015-01-26,10330.336582609232,19909.04736556146,-48.11235116915447
2015-01-27,9834.357757860602,19909.04736556146,-50.603574458956736
2015-01-28,9674.043532328424,19909.04736556146,-51.40880748989265
2015-01-29,9909.50614006856,19909.04736556146,-50.22611600588203
2015-01-30,9618.936295151558,19909.04736556146,-51.6856024372601
2015-02-02,9618.936295151558,19909.04736556146,-51.6856024372601
2015-02-03,9618.936295151558,19909.04736556146,-51.6856024372601
2015-02-04,9618.936295151558,19909.04736556146,-51.6856024372601
2015-02-05,9618.936295151558,19909.04736556146,-51.6856024372601
2015-02-06,9618.936295151558,19909.04736556146,-51.6856024372601
2015-02-09,9609.509264754888,19909.04736556146,-51.73295292180903
2015-02-10,9878.272167764926,19909.04736556146,-50.38299931491299
2015-02-11,9812.25835662363,19909.04736556146,-50.71457626045528
2015-02-12,10514.818104821601,19909.04736556146,-47.18572962456222
2015-02-13,10519.535134072023,19909.04736556146,-47.162036731759216
2015-02-17,10552.537939915235,19909.04736556146,-46.996268851271374
2015-02-18,10429.944376133488,19909.04736556146,-47.61203695674994
2015-02-19,10458.236009479757,19909.04736556146,-47.46993255151753
2015-02-20,10533.679193719114,19909.04736556146,-47.09099335440728
2015-02-23,10448.806636381696,19909.04736556146,-47.517294803085484
2015-02-24,10560.045126522127,19909.04736556146,-46.958561438811856
2015-02-25,10479.57099104598,19909.04736556146,-47.3627703092742
2015-02-26,10507.972731357617,19909.04736556146,-47.22011285414771
2015-02-27,10441.708251167503,19909.04736556146,-47.552948870725466
2015-03-02,10697.30751506251,19909.04736556146,-46.26911414372019
2015-03-03,10498.504703686607,19909.04736556146,-47.26766926152955
2015-03-04,10616.836893638449,19909.04736556146,-46.673305363653995
2015-03-05,10820.37313317451,19909.04736556146,-45.65097498390847
2015-03-06,10673.638031560335,19909.04736556146,-46.38800222042003
2015-03-09,10702.040943222668,19909.04736556146,-46.24533888178402
2015-03-10,10886.634099312536,19909.04736556146,-45.31815661785925
2015-03-11,10829.841160845519,19909.04736556146,-45.60341857652663
2015-03-12,10730.44151218361,19909.04736556146,-46.10268731016704
2015-03-13,10744.641796664082,19909.04736556146,-46.03136152435855
2015-03-16,10872.440842936237,19909.04736556146,-45.38944710261067
2015-03-17,11004.97331736855,19909.04736556146,-44.72375741892662
2015-03-18,10825.104218633276,19909.04736556146,-45.62721148899133
2015-03-19,10990.777718290861,19909.04736556146,-44.795059670697064
2015-03-20,11109.104051489225,19909.04736556146,-44.20072519036907
2015-03-23,10749.370539421458,19909.04736556146,-46.00760979646043
2015-03-24,10602.641294560759,19909.04736556146,-46.744607615424435
2015-03-25,9958.911463689128,19909.04736556146,-49.97796086960952
2015-03-26,9958.911463689128,19909.04736556146,-49.97796086960952
2015-03-27,9958.911463689128,19909.04736556146,-49.97796086960952
2015-03-30,9958.911463689128,19909.04736556146,-49.97796086960952
2015-03-31,9958.911463689128,19909.04736556146,-49.97796086960952
2015-04-01,9958.911463689128,19909.04736556146,-49.97796086960952
2015-04-02,9958.911463689128,19909.04736556146,-49.97796086960952
2015-04-06,9958.911463689128,19909.04736556146,-49.97796086960952
2015-04-07,9958.911463689128,19909.04736556146,-49.97796086960952
2015-04-08,9958.911463689128,19909.04736556146,-49.97796086960952
2015-04-09,9958.911463689128,19909.04736556146,-49.97796086960952
2015-04-10,9958.911463689128,19909.04736556146,-49.97796086960952
2015-04-13,9867.023518066968,19909.04736556146,-50.43949950546162
2015-04-14,9783.887011614705,19909.04736556146,-50.857081044777615
2015-04-15,9902.028191915677,19909.04736556146,-50.26367655820568
2015-04-16,9840.777863204314,19909.04736556146,-50.57132728396223
2015-04-17,9713.877663917287,19909.04736556146,-51.20872693928947
2015-04-20,9665.74691414461,19909.04736556146,-51.45048009246109
2015-04-21,9652.620838220644,19909.04736556146,-51.51641029837678
2015-04-22,9762.01491067524,19909.04736556146,-50.9669411527871
2015-04-23,9722.626937425424,19909.04736556146,-51.1647807205303
2015-04-24,9639.495845127558,19909.04736556146,-51.582335065404
2015-04-27,9713.877663917287,19909.04736556146,-51.20872693928947
2015-04-28,9762.01491067524,19909.04736556146,-50.9669411527871
2015-04-29,9687.622263576715,19909.04736556146,-51.34060366778622
2015-04-30,9713.877663917287,19909.04736556146,-51.20872693928947
2015-05-01,9713.877663917288,19909.04736556146,-51.20872693928946
