Date,META
2020-12-31,271.0331115722656
2021-01-04,266.845947265625
2021-01-05,268.8601379394531
2021-01-06,261.259765625
2021-01-07,266.6474609375
2021-01-08,265.4866027832031
2021-01-11,254.84014892578125
2021-01-12,249.13494873046875
2021-01-13,249.68064880371094
2021-01-14,243.7273406982422
2021-01-15,249.40283203125
2021-01-19,259.0670166015625
2021-01-20,265.3973083496094
2021-01-21,270.74530029296875
2021-01-22,272.36260986328125
2021-01-25,275.8453063964844
2021-01-26,279.8538513183594
2021-01-27,270.0210266113281
2021-01-28,262.9366149902344
2021-01-29,256.31854248046875
2021-02-01,259.9698791503906
2021-02-02,265.0003662109375
2021-02-03,264.5737609863281
2021-02-04,264.4150085449219
2021-02-05,266.0124816894531
2021-02-08,264.5043029785156
2021-02-09,267.3519287109375
2021-02-10,269.75311279296875
2021-02-11,268.2846374511719
2021-02-12,268.3937683105469
2021-02-16,271.8367919921875
2021-02-17,271.4399108886719
2021-02-18,267.29248046875
2021-02-19,259.5234069824219
2021-02-22,258.3030090332031
2021-02-23,263.7898864746094
2021-02-24,262.251953125
2021-02-25,252.70687866210938
2021-02-26,255.6140899658203
2021-03-01,262.84735107421875
2021-03-02,256.98333740234375
2021-03-03,253.42127990722656
2021-03-04,255.63389587402344
2021-03-05,262.22222900390625
2021-03-08,253.32205200195312
2021-03-09,263.67083740234375
2021-03-10,262.83734130859375
2021-03-11,271.74749755859375
2021-03-12,266.3100891113281
2021-03-15,271.6184997558594
2021-03-16,277.10540771484375
2021-03-17,281.798583984375
2021-03-18,276.4505920410156
2021-03-19,287.8510437011719
2021-03-22,291.25439453125
2021-03-23,288.3670654296875
2021-03-24,279.94317626953125
2021-03-25,276.569580078125
2021-03-26,280.8162841796875
2021-03-29,288.5556335449219
2021-03-30,285.7575378417969
2021-03-31,292.2366943359375
2021-04-01,296.33453369140625
2021-04-05,306.5047607421875
2021-04-06,303.87530517578125
2021-04-07,310.6521911621094
2021-04-08,310.5827331542969
2021-04-09,310.0270690917969
2021-04-12,309.1142578125
2021-04-13,307.3480529785156
2021-04-14,300.4621887207031
2021-04-15,305.42315673828125
2021-04-16,303.79595947265625
2021-04-19,299.8866882324219
2021-04-20,300.29345703125
2021-04-21,299.12261962890625
2021-04-22,294.2112121582031
2021-04-23,298.7853088378906
2021-04-26,300.6804504394531
2021-04-27,301.206298828125
2021-04-28,304.70880126953125
2021-04-29,326.94427490234375
2021-04-30,322.54876708984375
2021-05-03,320.0682678222656
2021-05-04,315.8811340332031
2021-05-05,312.567138671875
2021-05-06,317.5281982421875
2021-05-07,316.5954895019531
2021-05-10,303.5876159667969
2021-05-11,304.14324951171875
2021-05-12,300.1942443847656
2021-05-13,302.8831787109375
2021-05-14,313.4799499511719
2021-05-17,313.00372314453125
2021-05-18,307.5465393066406
2021-05-19,311.14825439453125
2021-05-20,316.1291809082031
2021-05-21,313.7677307128906
2021-05-24,322.102294921875
2021-05-25,325.2377014160156
2021-05-26,325.1087341308594
2021-05-27,330.15911865234375
2021-05-28,326.17041015625
2021-06-01,326.5672607421875
2021-06-02,326.5871276855469
