Date,QCOM
2016-05-13,38.83354949951172
2016-05-16,39.280006408691406
2016-05-17,39.34054946899414
2016-05-18,39.945899963378906
2016-05-19,39.92320251464844
2016-05-20,41.25498580932617
2016-05-23,40.99770736694336
2016-05-24,42.06464767456055
2016-05-25,42.35976028442383
2016-05-26,42.17815399169922
2016-05-27,42.22399139404297
2016-05-31,41.95659637451172
2016-06-01,41.85728454589844
2016-06-02,41.92604064941406
2016-06-03,41.97187805175781
2016-06-06,41.93368911743164
2016-06-07,41.89548110961914
2016-06-08,41.97187805175781
2016-06-09,42.00243377685547
2016-06-10,41.123878479003906
2016-06-13,40.35993576049805
2016-06-14,40.260616302490234
2016-06-15,40.703704833984375
2016-06-16,40.81066131591797
2016-06-17,40.909976959228516
2016-06-20,41.16973114013672
2016-06-21,41.16209030151367
2016-06-22,41.28431701660156
2016-06-23,42.437904357910156
2016-06-24,39.8175048828125
2016-06-27,39.06883239746094
2016-06-28,40.11545944213867
2016-06-29,40.909976959228516
2016-06-30,40.925254821777344
2016-07-01,40.48980712890625
2016-07-05,39.68000030517578
2016-07-06,40.008506774902344
2016-07-07,40.436336517333984
2016-07-08,41.3989143371582
2016-07-11,41.345436096191406
2016-07-12,41.7274169921875
2016-07-13,41.887847900390625
2016-07-14,41.92604064941406
2016-07-15,41.82672882080078
2016-07-18,42.28510284423828
2016-07-19,42.12466049194336
2016-07-20,42.6441650390625
2016-07-21,45.784027099609375
2016-07-22,46.71605682373047
2016-07-25,46.395198822021484
2016-07-26,46.868865966796875
2016-07-27,47.75503921508789
2016-07-28,47.69392395019531
2016-07-29,47.80853271484375
2016-08-01,47.250831604003906
2016-08-02,46.29589080810547
2016-08-03,46.60911178588867
2016-08-04,46.5861930847168
2016-08-05,47.36542510986328
2016-08-08,47.044559478759766
2016-08-09,47.3577880859375
2016-08-10,47.14387893676758
2016-08-11,47.166805267333984
2016-08-12,47.14387893676758
2016-08-15,47.69392395019531
2016-08-16,47.41890335083008
2016-08-17,47.57933807373047
2016-08-18,48.15994644165039
2016-08-19,47.94603729248047
2016-08-22,47.99951934814453
2016-08-23,48.19813919067383
2016-08-24,47.83143615722656
2016-08-25,47.85435485839844
2016-08-26,48.106475830078125
2016-08-29,48.52251052856445
2016-08-30,48.49168014526367
2016-08-31,48.59184646606445
2016-09-01,48.900028228759766
2016-09-02,48.80757522583008
2016-09-06,48.60725402832031
2016-09-07,48.098758697509766
2016-09-08,48.29907989501953
2016-09-09,46.62721252441406
2016-09-12,47.9600830078125
2016-09-13,47.220458984375
2016-09-14,47.45158767700195
2016-09-15,48.18351745605469
2016-09-16,48.53020095825195
2016-09-19,48.43004608154297
2016-09-20,48.30678176879883
2016-09-21,48.97707748413086
2016-09-22,48.93855285644531
2016-09-23,48.345306396484375
2016-09-26,48.00632095336914
2016-09-27,48.77676773071289
2016-09-28,48.884613037109375
2016-09-29,51.966392517089844
2016-09-30,52.77536392211914
2016-10-03,51.704437255859375
2016-10-04,51.37315368652344
2016-10-05,51.49641418457031
2016-10-06,52.03572082519531
2016-10-07,52.536502838134766
2016-10-10,51.81230163574219
2016-10-11,50.918582916259766
2016-10-12,50.895477294921875
2016-10-13,50.61810302734375
2016-10-14,50.61810302734375
2016-10-17,50.22517013549805
2016-10-18,50.92628860473633
2016-10-19,50.68745422363281
2016-10-20,51.881629943847656
2016-10-21,52.3361930847168
2016-10-24,52.43635559082031
2016-10-25,52.16670608520508
2016-10-26,52.54420852661133
2016-10-27,54.00034713745117
2016-10-28,52.69831848144531
2016-10-31,52.944847106933594
2016-11-01,52.652095794677734
2016-11-02,51.689029693603516
