Date,price,return,momentum,position,strategy_return,strategy_value,buyhold_value,position_change
2009-03-31,8.638811111450195,0.029793639970287833,-0.2826732089916466,0,0.0,14352.120219226857,12169.932342541186,0.0
2009-04-30,9.827930450439451,0.1376484939476399,-0.209798672670782,0,0.0,14352.120219226857,13845.105200936654,0.0
2009-05-31,10.355602264404297,0.05369104071562192,-0.3105052465481546,0,0.0,14352.120219226857,14588.463307992211,0.0
2009-06-30,10.463817596435549,0.010449931280503533,-0.2877604092363235,0,0.0,14352.120219226857,14740.911747048876,0.0
2009-07-31,10.99644947052002,0.05090225141786764,-0.1991374243149614,0,0.0,14352.120219226857,15491.257342925757,0.0
2009-08-31,11.458596229553224,0.04202690698230893,-0.0648024214246673,0,0.0,14352.120219226857,16142.306974315907,0.0
2009-09-30,12.306941986083984,0.07403574919087941,-0.003497030116176081,0,0.0,14352.120219226857,17337.414764828543,0.0
2009-10-31,13.306438446044922,0.0812140384744735,0.23801573100193907,1,0.0,14352.120219226857,18745.456234587233,1.0
2009-11-30,14.469996452331545,0.08744323366501328,0.49187423864257607,1,0.08744323366501328,15607.116021145073,20384.619544265523,0.0
2009-12-31,15.387834548950195,0.06343042996881731,0.9900329755279142,1,0.06343042996881731,16597.082100939522,21677.624726709044,0.0
2010-01-31,13.15305233001709,-0.14523045538500212,1.015212151436593,1,-0.14523045538500212,14186.680309357807,18529.373415983908,0.0
2010-02-28,13.075117111206056,-0.005925257260109507,0.565415402775689,1,-0.005925257260109507,14102.620578857932,18419.58211162557,0.0
2010-03-31,14.07585620880127,0.07653767756600272,0.5586256336986128,1,0.07653767756600272,15182.002405558234,19829.374148185678,0.0
2010-04-30,13.047816276550291,-0.07303569438342028,0.6293742306906811,1,-0.07303569438342028,14073.174317737532,18381.122038084293,0.0
2010-05-31,12.053282737731934,-0.07622222123143674,0.32762602893337167,1,-0.07622222123143674,13000.485711462368,16980.072087615394,0.0
2010-06-30,11.043612480163574,-0.08376724246313905,0.16393836205578682,1,-0.08376724246313905,11911.470872731727,15557.698272010535,0.0
2010-07-31,12.033923149108888,0.08967271087464357,0.05540949833887865,1,0.08967271087464357,12979.604756393937,16952.79925103148,0.0
2010-08-31,11.169447898864746,-0.07183652741775703,0.09434624160918426,1,-0.07183652741775703,12047.195023439594,15734.969022827026,0.0
2010-09-30,13.050049781799316,0.16837017370623242,-0.025234184440736884,0,0.16837017370623242,14075.583342208976,18384.2684904626,-1.0
2010-10-31,15.231966018676758,0.16719600870186135,0.06038118945840476,1,0.0,14075.583342208976,21458.044804971338,1.0
2010-11-30,13.792659759521484,-0.09449248096998508,0.14470645773769464,1,-0.09449248096998508,12745.546551103856,19430.420914584498,0.0
2010-12-31,14.742268562316896,0.0688488528936464,-0.04680973454564474,0,0.0688488528936464,13623.062810649928,20768.183105794353,-1.0
2011-01-31,14.900867462158203,0.010758106811777024,-0.04195301064485002,0,0.0,13623.062810649928,20991.609437933035,0.0
2011-02-28,15.224520683288574,0.02172042815307984,0.1328828539784912,1,0.0,13623.062810649928,21447.55618254717,1.0
2011-03-31,14.563318252563477,-0.04343009835776812,0.16438885814952786,1,-0.04343009835776812,13031.411852849349,20516.08670800539,0.0
2011-04-30,13.504501342773438,-0.07270437213741887,0.03463107583163638,1,-0.07270437213741887,12083.971236023819,19024.47750518301,0.0
2011-05-31,13.13021755218506,-0.027715483977397315,0.03500088110865773,1,-0.027715483977397315,11749.05812484847,18497.204903709757,0.0
2011-06-30,12.568294525146484,-0.04279617034563632,0.0893478430636876,1,-0.04279617034563632,11246.243431936673,17705.595371732456,0.0
2011-07-31,14.983519554138184,0.19216808009705266,0.13806008203579467,1,0.19216808009705266,13407.412440556032,21108.045641293542,0.0
2011-08-31,13.426566123962402,-0.10391106205389367,0.24510680087297332,1,-0.10391106205389367,12014.233974463268,18914.686200824668,0.0
2011-09-30,12.78323459625244,-0.04791482213473841,0.20207965922174798,1,-0.04791482213473841,11438.57409049173,18008.392375777763,0.0
2011-10-31,14.709258079528809,0.15066792905772108,-0.020445530094375552,0,0.15066792905772108,13162.000360079423,20721.67956069505,-1.0
2011-11-30,14.87679386138916,0.011389818640378246,-0.03431651163789551,0,0.0,13162.000360079423,20957.695732815402,0.0
2011-12-31,16.031164169311523,0.07759536891335062,0.07860225081817629,1,0.0,13162.000360079423,22583.915864776965,1.0
2012-01-31,14.39826488494873,-0.10185781064413613,0.08742858004155529,1,-0.10185781064413613,11821.347819704402,20283.567639019413,0.0
2012-02-29,15.344895362854004,0.06574614965549341,-0.03372975288088875,0,0.06574614965549341,12598.555922588328,21617.134112561707,-1.0
2012-03-31,15.915504455566406,0.037185596852859604,0.007906631812557574,1,0.0,12598.555922588328,22420.980146785627,1.0
2012-04-30,15.012310028076172,-0.05674934338473603,0.09284877110784251,1,-0.05674934338473603,11883.596146385564,21148.604245413342,0.0
2012-05-31,14.416879653930664,-0.03966280825748525,0.11165230370461598,1,-0.03966280825748525,11412.259351022083,20309.791210314073,0.0
2012-06-30,14.397273063659668,-0.0013599746090444675,0.09799244350916969,1,-0.0013599746090444675,11396.738968072861,20282.17040995305,0.0
